Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label
21:13.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:14.4,1.95932,0.50508,0.31232,0.5856,2.41072,1.154608,0
21:15.4,9.9918,9.9918,2.88164,9.9918,9.9918,8.569768,0
21:16.4,9.9918,0.32696,0.32452,0.69784,6.97596,3.663416,0
21:17.4,0.46116,1.09312,0.41236,1.71532,9.9918,2.734752,0
21:18.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:19.4,0.67344,0.61732,0.20008,1.5738,9.9918,2.611288,0
21:20.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:21.4,0.27816,0.75884,0.28792,1.48596,9.9918,2.560536,0
21:22.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:23.4,0.55388,0.74176,0.3294,0.89548,9.9918,2.502464,0
21:24.4,9.9918,9.27444,1.13948,9.9918,9.9918,8.077864,0
21:25.4,9.9918,0.47092,0.549,1.8422,9.9918,4.569144,0
21:26.4,0.976,1.09312,0.45384,1.60064,9.9918,2.82308,0
21:27.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:28.4,0.1952,1.40544,0.26352,2.74012,9.9918,2.919216,0
21:29.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:30.4,9.9918,0.3782,0.22204,0.83692,3.55264,2.99632,0
21:31.5,9.9918,9.9918,1.71776,9.9918,9.9918,8.336992,0
21:32.4,9.9918,0.61,0.5002,1.48352,9.9918,4.515464,0
21:33.4,9.9918,0.89792,0.50996,1.33468,9.9918,4.545232,0
21:34.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:35.4,0.55632,0.64172,0.41968,0.63684,3.07684,1.06628,0
21:36.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:37.5,0.366,0.66124,0.3416,0.66368,8.54732,2.115968,0
21:38.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:39.4,0.53192,0.6466,0.27328,0.97844,9.9918,2.484408,0
21:40.4,3.46968,0.89792,0.549,1.22244,9.9918,3.226168,0
21:41.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:42.5,0.31964,0.7076,0.29036,1.07116,9.9918,2.476112,0
21:43.4,0.56364,0.99796,0.44408,1.35176,9.9918,2.669848,0
21:44.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:45.5,0.183,3.39648,0.1708,9.9918,9.9918,4.746776,0
21:46.5,1.01748,1.17364,0.55388,1.82512,9.9918,2.912384,0
21:47.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:48.5,0.8174,0.50996,0.28792,0.70272,9.9918,2.46196,0
21:49.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:50.5,9.9918,2.68156,0.74664,3.60388,9.9918,5.403136,0
21:51.5,0.24644,1.44448,0.37576,3.03292,9.9918,3.01828,0
21:52.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:53.5,0.4758,0.67344,0.34648,0.71492,9.9918,2.440488,0
21:54.4,0.31232,1.69336,0.427,3.7454,9.9918,3.233976,0
21:55.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:56.5,0.1952,0.95892,0.31232,1.51524,9.9918,2.594696,0
21:57.5,1.57868,9.9918,1.17852,9.9918,9.9918,6.54652,0
21:58.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
21:59.5,0.18544,1.13216,0.35136,1.32492,9.9918,2.597136,0
22:00.5,6.79296,9.9918,0.976,9.9918,9.9918,7.548872,0
22:01.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
22:02.5,0.19032,0.91256,0.32208,1.70312,9.9918,2.623976,0
22:03.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
22:04.5,9.9918,1.38104,9.9918,3.11588,9.9918,6.894464,0
22:05.5,3.355,0.43188,0.3416,0.48312,5.40216,2.002752,0
22:06.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
22:07.5,1.0614,0.50752,0.244,0.66368,9.9918,2.49368,0
22:08.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0
